product_id,price,discount_percentage,sold_count,rating,review_count,total_stock,category,brand_name_guess,province,price_band
355238558,47320,0.32,6467,4.9,2442,1000,Sunblock wajah,Rohto,Banten,<50k
15271932537,45100,0.08,154,5,49,37,Krim Wajah,Beauty of Joseon,Banten,<50k
100313912307,79000,0.6,306763,4.9,3412,799202,Face Mist,Glad2glow.Indo,Banten,50–99k
100094487912,37250,0,1076,4.9,46,2806,Face Mist,Glad2glow Moisturizer,Jawa Tengah,<50k
100313945557,122000,0.55,95111,4.9,5982,255512,Face Mist,Glad2glow.Indo,Banten,100–199k
100596599136,34250,0,1418,4.9,429,18,Sunblock wajah,Azarine,Jawa Timur,<50k
12611355046,45000,0.17,2128,5,624,166,Krim Wajah,Guardian,Jawa Barat,<50k
100016540312,34584,0.12,656,4.9,105,925,Face Mist,Hanasui Ceramide,Jawa Barat,<50k
100270420745,34900,0,2105,4.8,115,178,Face Mist,Moisturizer,Jawa Timur,<50k
100250341016,49500,0.6,136,4.8,8,11,Sunblock wajah,Glowsophy,Banten,<50k
100313923123,49000,0.51,164220,4.9,19368,15938646,Face Mist,Glad2glow.Indo,Banten,<50k
100275644003,25000,0.5,281045,4.8,48388,164392,Face Mist,Madame Gie,DKI Jakarta,<50k
100268462407,39999,0.5,16493,4.9,136,3151,Face Mist,Bioaqua,Banten,<50k
12115076062,39900,0,935,4.9,290,113,Krim Wajah,Azarine,Jawa Tengah,<50k
100250338547,36000,0.64,64,4.8,6,3,Face Mist,Glowsophy,Banten,<50k
15603689218,118000,0.31,1755,5,165,2577,Krim Wajah,Trueve.,Banten,100–199k
16606119590,959999,0.04,312,4.9,7,178,Krim Wajah,Juva By Zap,DKI Jakarta,350k+
15891582819,76500,0.11,5,5,2,53,Krim Wajah,Glad2glow Centella,Jawa Timur,50–99k
100067850727,36987,0,18,0,0,32,Face Mist,Glad2glow Moisturizer,Jawa Timur,<50k
100179595917,152000,0.22,567,4.9,83,110,Face Mist,Watch Me Bare It,DKI Jakarta,100–199k
12695373765,248090,0,1,5,1,2,Krim Wajah,SKIN1004 Madagascar Centella,DI Yogyakarta,200–349k
13105311581,30611,0.3,0,0,0,2,Krim Wajah,Apotek Sobat Medika By Goapotik,Bali,<50k
11505056476,40900,0.51,1118,4.9,336,4213,Krim Wajah,Beauty of Joseon,Jawa Barat,<50k
15732784167,109000,0.23,636,5,182,2350,Krim Wajah,Somethinc,Banten,100–199k
102013169125,40000,0.72,139,5,15,70,Face Mist,Erhastore,DKI Jakarta,<50k
100282952879,38900,0.28,227,4.8,17,4987,CC Cream,Emina Water,Jawa Barat,<50k
100013838800,39000,0.76,223268,4.8,7695,13809,Face Mist,Glowsophy,DKI Jakarta,<50k
100628646838,58900,0,0,0,0,10,Face Mist,Mineral Botanica,Jawa Timur,50–99k
15007087959,42000,0,442,4.9,147,29,Serum Wajah,Glad2glow,Jawa Tengah,<50k
100353077343,37500,0,1,0,0,99,Face Mist,Glad2glow Blueberry,Jawa Timur,<50k
16031400916,49250,0,118,4.9,27,24,Face Mist,Glad2glow,Sumatera Selatan,<50k
15956113601,37000,0,1350,4.9,362,21,Krim Wajah,Glad2glow Pomegranate,Jawa Tengah,<50k
100313919285,122000,0.59,373318,4.9,11643,2955682,Face Mist,Glad2glow.Indo,Banten,100–199k
16056109082,83500,0.47,156,5,55,99478,Krim Wajah,Glad2glow,Banten,50–99k
100261545169,42029,0.56,51327,4.8,6689,3510,Face Mist,Beauty of Joseon,Banten,<50k
100386775963,30000,0,39,0,0,12334,Face Mist,Moisturizer,Jawa Barat,<50k
100846446457,34999,0.53,33594,4.6,3499,9233,Paket Perawatan Wajah,Glamazing,Jawa Timur,<50k
13179270618,57500,0.45,509,4.9,165,3,Krim Wajah,Glamazing,Jawa Timur,50–99k
10451191680,32200,0.68,719,4.9,170,259,Toner Wajah,Vicci,Jawa Timur,<50k
100404413506,44800,0,5,0,0,791,Face Mist,Glad2glow,Nusa Tenggara Timur,<50k
100281104833,38500,0,42273,4.9,8258,1141,Face Mist,Wardah,Jawa Timur,<50k
100287013787,59900,0.39,65,4.8,4,2,Face Mist,Glowsophy,Lampung,50–99k
100287886702,13500,0.46,599841,4.8,63689,101870,Face Mist,Asfindo Scents,Jawa Barat,<50k
11502849710,44870,0.31,437,5,68,190,Krim Wajah,Azarine,Sumatera Utara,<50k
100660756190,135000,0.16,306,4.7,67,99,Face Mist,Moisturizer,Jawa Timur,100–199k
14890770054,259000,0,5136,4.9,962,479,Face Mist,From This Island,DKI Jakarta,200–349k
100122030563,47400,0,114,4.9,15,14,Face Mist,Glowsophy,Jawa Timur,<50k
102117977908,59900,0.62,52569,4.9,5871,2643,Face Mist,Facetologystore,Banten,50–99k
445202383,235000,0,3208,5,1243,56,Face Mist,Tull Jye,DKI Jakarta,200–349k
13810101497,90000,0,676,4.9,124,30,Face Mist,Minimalist,DKI Jakarta,50–99k
5595767627,132100,0.29,33993,5,14967,4101,Krim Wajah,Somethinc,Banten,100–199k
100035766753,176320,0.05,2879,4.9,420,133,Cream & Lotion Bayi,Aveeno,DKI Jakarta,100–199k
100262816481,227000,0.34,2676,4.9,564,1108,Face Mist,Some By Mi,Banten,200–349k
100255986955,64700,0.62,52428,4.9,14458,29350,Face Mist,Whitelab,DKI Jakarta,50–99k
100778754509,164106,0.45,2,0,0,55,Face Mist,C&F,DKI Jakarta,100–199k
100520398977,35550,0.21,210,4.9,25,38,Face Mist,Glad2glow Pomegranate,Jawa Timur,<50k
6971968690,25900,0.14,23,4.8,5,6,Face Mist,Azarine,DI Yogyakarta,<50k
5082081139,50000,0,683,4.9,282,452,Cleanser Wajah,COSRX,Jawa Barat,50–99k
16675041778,61750,0.05,19,4.7,7,9966,Krim Wajah,Somethinc,DKI Jakarta,50–99k
16242303394,27000,0,306,5,125,21,Krim Wajah,Moisturizer,DKI Jakarta,<50k
100070678162,34975,0,11,5,4,14,Face Mist,OMG,Sumatera Selatan,<50k
100326136663,89000,0.55,13,5,4,5810,Face Mist,Soocera,Banten,50–99k
473876018,1985000,0.01,1,5,1,100000,Krim Wajah,SK-II,DI Yogyakarta,350k+
100279108722,72500,0,1,0,0,3,Krim Wajah,Implora,Kalimantan Timur,50–99k
100759301182,52500,0,2,0,0,16,Face Mist,Glad2glow,Kalimantan Selatan,50–99k
100078848461,36000,0.28,1286,4.8,243,500,Paket Perawatan Wajah,Ready Stock,Lampung,<50k
100481362137,55000,0,0,0,0,20,Face Mist,Moisturizer,Nusa Tenggara Barat,50–99k
100549686391,34000,0,176,4.8,13,18,Face Mist,Emina Water,Jawa Tengah,<50k
102091644781,31999,0,73,4.7,14,38,Face Mist,Emina Water,Jawa Barat,<50k
100395656390,55000,0,0,0,0,50,Face Mist,Moisturizer,Nusa Tenggara Barat,50–99k
100316741677,34999,0,191,4.7,34,55,Face Mist,Moisturizer,Jawa Timur,<50k
100227240859,40200,0.27,2652,4.8,280,2110,Face Mist,Pigeon,Jawa Timur,<50k
100071378218,62300,0.3,146536,4.9,9720,45415,Face Mist,Nyyo Cosmetics,Jawa Timur,50–99k
100013407072,58000,0.68,222674,4.9,21517,32247,Face Mist,Glowsophy,DKI Jakarta,50–99k
16700110595,36800,0,2,0,0,11,Krim Wajah,Glad2glow,Jawa Timur,<50k
100168171774,999999999,0,338,4.9,58,10,Paket Perawatan Wajah,Glad2glow.Live,Banten,350k+
14876682305,48889,0,145,4.9,46,7,Krim Wajah,Apotik Century,Jawa Barat,<50k
315727554,31500,0.09,47139,4.9,8013,279,Face Mist,Wardah,Jawa Barat,<50k
100482889259,31000,0,51,4.9,8,3,Face Mist,Emina,Jawa Tengah,<50k
100262743422,136710,0.43,2133,4.9,567,371,Face Mist,Some By Mi,Banten,100–199k
100096558346,37250,0,373,4.7,25,1073,Face Mist,Glad2glow Blueberry Ceramide,Jawa Tengah,<50k
100314356663,59900,0,1352,4.8,174,262,Face Mist,Scora,Sulawesi Selatan,50–99k
13739429563,5093,0,22,5,5,19,Krim Wajah,Viva White,DI Yogyakarta,<50k
100000128068,99000,0.45,7500,4.9,1112,2030,Krim Wajah,Elvicto,Banten,50–99k
15338296413,31500,0.3,412,4.2,6,4584,Krim Wajah,Scora,Jawa Barat,<50k
868156297,10458,0.16,21458,5,3020,1049,Face Mist,Viva,Jawa Timur,<50k
16063184261,708000,0.76,16176,4.9,813,24067,Paket Perawatan Wajah,SKIN1004,DKI Jakarta,350k+
100475656138,41000,0,30,3,7,9965,Face Mist,Glad2glow,Banten,<50k
100155982936,40999,0.18,184,4.8,22,94,Face Mist,Glowsophy,Jawa Barat,<50k
100331535858,15000,0.67,41,1,3,1280,Face Mist,Glad2glow Pomegranate,Jawa Barat,<50k
16074856331,18000,0.1,2899,4.9,371,18,Face Mist,OMG OH MY,DKI Jakarta,<50k
12501178750,68999,0.66,3715,4.7,9,300,Face Mist,Moisturizer,Jawa Timur,50–99k
100144146117,144000,0.1,324,5,20,1162,Face Mist,Moisturizer,Sumatera Utara,100–199k
2770017212,59000,0,2,5,1,100,Krim Wajah,Azarine,Jawa Tengah,50–99k
